team_slot,team_name,team_id,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win
0,Gonzaga,2250,1,1,1,0,0,0
2,Appalachian State/Norfolk State,2026x2450,0,0,0,0,0,0
4,Oklahoma,201,1,0,0,0,0,0
6,Missouri,142,0,0,0,0,0,0
8,Creighton,156,1,1,0,0,0,0
10,UC-Santa Barbara,2540,0,0,0,0,0,0
12,Virginia,258,1,0,0,0,0,0
14,Ohio,195,0,0,0,0,0,0
16,Southern California,30,1,1,1,1,1,0
18,Wichita State/Drake,2724x2181,0,0,0,0,0,0
20,Kansas,2305,1,0,0,0,0,0
22,Eastern Washington,331,0,0,0,0,0,0
24,Oregon,2483,1,0,0,0,0,0
26,Virginia Commonwealth,2670,0,0,0,0,0,0
28,Iowa,2294,1,1,0,0,0,0
30,Grand Canyon,2253,0,0,0,0,0,0
32,Michigan,130,1,0,0,0,0,0
34,Mount St. Mary's/Texas Southern,116x2640,0,0,0,0,0,0
36,Louisiana State,99,1,1,1,1,0,0
38,St. Bonaventure,179,0,0,0,0,0,0
40,Colorado,38,1,1,0,0,0,0
42,Georgetown,46,0,0,0,0,0,0
44,Florida State,52,1,0,0,0,0,0
46,North Carolina-Greensboro,2430,0,0,0,0,0,0
48,Brigham Young,252,0,0,0,0,0,0
50,Michigan State/UCLA,127x26,1,1,0,0,0,0
52,Texas,251,1,0,0,0,0,0
54,Abilene Christian,2000,0,0,0,0,0,0
56,Connecticut,41,0,0,0,0,0,0
58,Maryland,120,1,1,1,0,0,0
60,Alabama,333,1,0,0,0,0,0
62,Iona,314,0,0,0,0,0,0
64,Illinois,356,1,0,0,0,0,0
66,Drexel,2182,0,0,0,0,0,0
68,Loyola (IL),2350,1,1,0,0,0,0
70,Georgia Tech,59,0,0,0,0,0,0
72,Tennessee,2633,1,1,1,1,0,0
74,Oregon State,204,0,0,0,0,0,0
76,Oklahoma State,197,1,0,0,0,0,0
78,Liberty,2335,0,0,0,0,0,0
80,San Diego State,21,1,1,1,0,0,0
82,Syracuse,183,0,0,0,0,0,0
84,West Virginia,277,1,0,0,0,0,0
86,Morehead State,2413,0,0,0,0,0,0
88,Clemson,228,0,0,0,0,0,0
90,Rutgers,164,1,1,0,0,0,0
92,Houston,248,1,0,0,0,0,0
94,Cleveland State,325,0,0,0,0,0,0
96,Baylor,239,1,0,0,0,0,0
98,Hartford,42,0,0,0,0,0,0
100,North Carolina,153,0,0,0,0,0,0
102,Wisconsin,275,1,1,1,1,1,1
104,Villanova,222,1,1,0,0,0,0
106,Winthrop,2737,0,0,0,0,0,0
108,Purdue,2509,1,0,0,0,0,0
110,North Texas,249,0,0,0,0,0,0
112,Texas Tech,2641,1,1,1,0,0,0
114,Utah State,328,0,0,0,0,0,0
116,Arkansas,8,0,0,0,0,0,0
118,Colgate,2142,1,0,0,0,0,0
120,Florida,57,1,0,0,0,0,0
122,Virginia Tech,259,0,0,0,0,0,0
124,Ohio State,194,1,1,0,0,0,0
126,Oral Roberts,198,0,0,0,0,0,0
